stock_code,firm_name,year,industry_code,industry_name,manufacturing,province_std,rd_intensity,rd_tax_deduction,rd_expense_est,patent_stock,gov_subsidy_rd,rd_deduction_rate,ln_assets,roa,lev,firm_age,dual_position,post2021,post2022,post2023,manufacturing_post2021,manufacturing_post2022,province_gdp,ln_gdp_prov,province_budget_exp,province_sci_tech_exp,sci_tech_exp_ratio,ip_protection_score,invention_apply,invention_grant,patent_apply_total,patent_grant_total,tech_market_turnover
002448,中原内配,2019.0,C36,汽车制造业,1,,6.36,-6853492.88,36551962.02666666,255.0,3829000.0,0.75,22.15,0.020218,0.357999,9.0,0,0,0,0,0,0,,,,,,,,,,,
002457,青龙管业,2019.0,C30,非金属矿物制品业,0,宁夏回族自治区,1.74,-3981903.27,21236817.44,90.0,1217150.0,0.75,21.99,0.044585,0.425143,9.0,0,0,0,0,0,0,3841.5,8.25361819430769,1438.29,31.26,2.17,69.62,2525.0,598.0,9275.0,5555.0,14.9
002474,榕基软件,2019.0,I65,软件和信息技术服务业,0,,13.64,-6377780.26,34014828.053333335,45.0,5752594.0,0.75,21.74,0.019466,0.438822,9.0,1,0,0,0,0,0,,,,,,,,,,,
002491,通鼎互联,2019.0,C38,电气机械和器材制造业,1,,7.73,-17925428.26,95602284.05333334,700.0,595000.0,0.75,22.86,-0.20303252,0.655873,9.0,1,0,0,0,0,0,,,,,,,,,,,
002510,天汽模,2019.0,C36,汽车制造业,1,天津市,3.35,-8878828.69,47353753.01333333,227.0,3403791.0,0.75,22.49,0.013985,0.539962,9.0,0,0,0,0,0,0,14097.2,9.553731475086048,3555.71,109.93,3.09,80.54,24574.0,5025.0,96045.0,57799.0,909.25
002532,天山铝业,2019.0,C34,通用设备制造业,1,新疆维吾尔自治区,4.67,-8442693.85,45027700.53333333,626.0,3804800.0,0.75,21.41,0.067869,0.270566,9.0,1,0,0,0,0,0,14024.9,9.5485896002407,5315.49,40.81,0.77,76.03,3544.0,856.0,14771.0,8652.0,7.82
002536,飞龙股份,2019.0,C36,汽车制造业,1,河南省,6.96,-22358986.95,119247930.39999999,276.0,7907092.0,0.75,22.09,0.018134,0.459798,8.0,0,0,0,0,0,0,53739.3,10.891899856405452,10163.93,211.07,2.08,82.53,30260.0,6991.0,144010.0,86247.0,231.89
002543,万和电气,2019.0,C38,电气机械和器材制造业,1,,4.15,-11296701.87,60249076.63999999,1645.0,,0.75,22.66,0.087413,0.438461,8.0,0,0,0,0,0,0,,,,,,,,,,,
002565,顺灏股份,2019.0,C22,造纸和纸制品业,0,,4.74,-9763425.55,52071602.93333334,312.0,1826864.0,0.75,21.84,-0.063213,0.299147,8.0,0,0,0,0,0,0,,,,,,,,,,,
002578,闽发铝业,2019.0,C32,有色金属冶炼和压延加工业,0,,3.18,-885523.56,4722792.32,77.0,3916100.0,0.75,21.25,0.027184,0.182398,8.0,0,0,0,0,0,0,,,,,,,,,,,
002588,史丹利,2019.0,C26,化学原料和化学制品制造业,1,山东省,2.97,-13592814.67,72495011.57333334,315.0,6968217.5,0.75,22.61,0.015746,0.313951,8.0,0,0,0,0,0,0,72024.3,11.184758841057878,10739.76,305.76,2.85,87.63,69350.0,20652.0,263211.0,146481.0,1110.02
002600,领益智造,2019.0,C39,计算机、通信和其他电子设备制造业,1,广东省,4.77,-103188790.66,550340216.8533334,1065.0,5789238.49,0.75,24.03,0.069221,0.573177,8.0,1,0,0,0,0,0,110468.1,11.6124820704788,17297.85,1168.79,6.76,90.86,203311.0,59742.0,807700.0,527390.0,2223.08
002603,以岭药业,2019.0,C27,医药制造业,1,,8.84,-20642544.37,110093569.97333334,586.0,730000.0,0.75,22.93,0.066492,0.123145,8.0,0,0,0,0,0,0,,,,,,,,,,,
002614,奥佳华,2019.0,C35,专用设备制造业,1,,4.3,-24937942.62,133002360.64,740.0,26637359.26,0.75,22.54,0.045607,0.447357,8.0,1,0,0,0,0,0,,,,,,,,,,,
002641,公元股份,2019.0,C29,橡胶和塑料制品业,0,,3.25,-21941548.27,117021590.77333333,525.0,7898573.51,0.75,22.47,0.089753,0.409039,8.0,0,0,0,0,0,0,,,,,,,,,,,
002649,博彦科技,2019.0,I65,软件和信息技术服务业,0,,4.9,-19035249.98,101521333.22666667,12.0,,0.75,22.14,0.060477,0.334016,7.0,0,0,0,0,0,0,,,,,,,,,,,
002651,利君股份,2019.0,C35,专用设备制造业,1,,2.97,-1629970.17,8693174.24,131.0,,0.75,21.7,0.06693,0.173739,7.0,0,0,0,0,0,0,,,,,,,,,,,
002666,德联集团,2019.0,C26,化学原料和化学制品制造业,1,,2.7,-10880405.92,58028831.57333333,85.0,200000.0,0.75,22.12,0.053761,0.260388,7.0,0,0,0,0,0,0,,,,,,,,,,,
002669,康达新材,2019.0,C26,化学原料和化学制品制造业,1,上海市,6.93,-6880463.93,36695807.626666665,104.0,754369.69,0.75,21.66,0.054343,0.16329,7.0,0,0,0,0,0,0,40241.2,10.60264662540254,8179.28,389.54,4.76,87.93,71398.0,22735.0,173586.0,100587.0,1422.35
002686,亿利达,2019.0,C34,通用设备制造业,1,,7.3,-10630805.94,56697631.68,220.0,1250690.0,0.75,21.85,-0.160959,0.583392,7.0,1,0,0,0,0,0,,,,,,,,,,,
002708,光洋股份,2019.0,C36,汽车制造业,1,,4.13,-3504728.64,18691886.080000002,276.0,6562591.0,0.75,21.5,0.005313,0.344436,5.0,0,0,0,0,0,0,,,,,,,,,,,
002718,友邦吊顶,2019.0,C41,其他制造业,1,浙江省,4.66,-3183827.1,16980411.2,968.0,6238259.24,0.75,21.37,0.048655,0.337335,5.0,0,0,0,0,0,0,64632.0,11.076464923159545,10053.03,516.06,5.13,88.84,112981.0,33964.0,435883.0,285342.0,888.01
